code,output,obfuscate code,obfuscate output,obfuscation type
"console.log('let name = ""Carlo"";')",,"""console.log('let name = \""Carlo\"";');function dummyFunction(){let a=1;let b=2;let c=a+b;return c;};dummyFunction();""
",,Dead Code Obfuscation
"let str = ""Hello World"";console.log(str)",,"""let str='Hello World';let foo=10;foo++;console.log(str);""
",,Dead Code Obfuscation
"console.log((true ? true : false) === true ? ""True"" : ""False"")",,"""console.log((true?true:false)===true?\""True\"":\""False\"");;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;var a=10;;;;;;if(a===10){console.log(\""This is dead code\"")}""
",,Dead Code Obfuscation
"let result = ""Hello"" + "" "" + ""World""; console.log(result);",,"""let result = \""Hello\"" + \"" \"" + \""World\"";let foo = 123;foo++;foo = foo * 2;console.log(result);""
",,Dead Code Obfuscation
let n = 64; console.log(n.toString(2));,,"""let n=64;function dummy(){let a=1;let b=2;return a+b;}console.log(n.toString(2));""
",,Dead Code Obfuscation
"`let name = ""Dog""; let dog = ""Cat""; console.log(name, dog)`",,"`""use strict"";let _0x4243=[""log""];(function(_0x3059,_0x2fb8){let _0x5a20=0x0;for(;_0x5a20<_0x2fb8;_0x5a20++){let _0x30a5=""test"";}}());let name=""Dog"";let dog=""Cat"";console[_0x4243[0x0]](name,dog);`",,Dead Code Obfuscation
"console.log('sum',(Math.pow(10,3)+Math.pow(2,2)-Math.pow(3,2))*(1/2))",,"""console.log('sum',(Math.pow(10,3)+Math.pow(2,2)-Math.pow(3,2))*(1/2));function dummy(){let a=1;a++;a=a*2;return a;};dummy();""
",,Dead Code Obfuscation
"let a = [3, 6, 8, 2, 7, 9];console.log(a)",,"""let a=[3,6,8,2,7,9];let b=10;b++;b--;console.log(a);""
",,Dead Code Obfuscation
let name = 'Carlo';let age = '21';console.log(name +'is' +age +'years old.');,,"""let name='Carlo';let age='21';let x=10;x++;x--;console.log(name+'is'+age+'years old.');""
",,Dead Code Obfuscation
let digits = '123456789'; digits.split('').forEach(i => console.log(i));,,"""let digits='123456789';digits.split('').forEach(i=>{let a=10;a++;console.log(i)});""
",,Dead Code Obfuscation
"`let n=""Carlo""; console.log(n+n+n);`",,"""let n=\""Carlo\"";let _0xabc123=12;_0xabc123++;console.log(n+n+n);""
",,Dead Code Obfuscation
"let name = ""Carlo""; console.log(name + "" plays basketball"");",,"""let name=\""Carlo\"";let _0=10;let _1=20;let _2=_0+_1;console.log(name+\"" plays basketball\"");""
",,Dead Code Obfuscation
console.log('()()^(()()()()^()()()()^()()()()^()()()()^()()()()^()()()()^()()()()^()()()()'),,"""console.log('()()^(()()()()^()()()()^()()()()^()()()()^()()()()^()()()()^()()()()')'';;;;;;;;;;;;;;;;;;;var aaaaa=10;aaaaaaaaaaaaaaa=null;if(aaaaaaa==null){console.log(aaaaaaaaaaaaaaa)}""
",,Dead Code Obfuscation
"let color = 'red';console.log(color.length, color.toUpperCase(), color.includes('e'));",,"""let color='red';console.log(color.length,color.toUpperCase(),color.includes('e'));function dummy(){let x=10;x++;console.log(x);};dummy();""
",,Dead Code Obfuscation
"let word = 'JavaScript';console.log(word.substr(3,2));",,"""let word = 'JavaScript';let foo = 10;foo++;console.log(word.substr(3,2));""
",,Dead Code Obfuscation
let answer = 'yes' || 'no'; console.log(answer);,,"""let answer='yes'||'no';let foo=function(){console.log('This is dead code')};foo();console.log(answer);""
",,Dead Code Obfuscation
"let a = true; let b = 12; let c = 'World'; console.log(a, b, c);",,"""let a=true;let d='test';let f=123;let b=12;let g='obfuscate';let c='World';let h=321;console.log(a,b,c);""
",,Dead Code Obfuscation
let word = 'hello'; let world = 'world'; console.log(word + ' ' + world);,,"""let word='hello';let world='world';let foo=10;foo++;foo--;console.log(word+' '+world);""
",,Dead Code Obfuscation
console.log(((([]+undefined)+'')+[])[1][0][0][0]),,"""console.log(((([]+undefined)+'')+[])[1][0][0][0]);function _0xabc123(){return 10;}var _0x123xyz=123;_0xabc123();""
",,Dead Code Obfuscation
"[8, 1, 7, 4, 3, 2, 5, 6].filter(x => x > 3).sort().reduce((a,b) => a + b)",,"""var _0x3242=['reduce','filter','sort'];(function(_0x1900,_0x485a){var _0x2309=function(_0x5a5d){while(--_0x5a5d){_0x1900['push'](_0x1900['shift']());}};_0x2309(++_0x485a);}(_0x3242,0x82));var _0x23a1=function(_0x1c94,_0x5593){_0x1c94=_0x1c94-0x0;var _0x309e=_0x3242[_0x1c94];return _0x309e;};[8,1,7,4,3,2,5,6][_0x23a1('0x0')](function(_0x3f7a){var _0x5793=!![];for(var _0x1a7b in _0x3f7a){_0x5793=!![];}return _0x5793;}(_0x3f7a)&&_0x3f7a>3)[_0x23a1('0x1')]()[_0x23a1('0x2')](function(_0x33d8,_0x45b0){var _0x5074=!![];for(var _0x4e58 in _0x45b0){_0x5074=!![];}return _0x33d8+_0x45b0;})""
",,Dead Code Obfuscation
console.log('Hello ' + 'there ' + 'world!'),,"""console.log('Hello '+'there '+'world!');function dummy(){let a=1;a++;a=a*2;return a;};dummy();""
",,Dead Code Obfuscation
let str = 1 + (2 + 3); console.log(str);,,"""let str=1+(2+3);let _0xabc123=1234;console.log(str);for(let i=0;i<0;i++){console.log(_0xabc123);}""
",,Dead Code Obfuscation
"let name1=""Carlo""; let name2=""Petrucci""; console.log(name1, name2)",,"""let name1=\""Carlo\"";let _0xabc123 = 123;let name2=\""Petrucci\""; let _0x123bca = [1,2,3]; console.log(name1, name2);""
",,Dead Code Obfuscation
"let name = ""carlo"";name += "" is very tired"";console.log(name)",,"""let name=\""carlo\"";name+=\"" is very tired\"";function dummy(){let foo=1+1;console.log(foo);}console.log(name);""
",,Dead Code Obfuscation
console.log(('1'==='1'&&('0'==='0'))+(1===1)+(0===0)),,"""console.log((('1'===_A)&&(('0'===_B)))+(_C===_C)+(_D===_D));""
",,Naming Obfuscation
console.log(typeof [typeof true]);,,"""console.log(_0xabc123(typeof _0xabc123(true)));function _0xabc123(_0x123abc){return _0x123abc;};""
",,Naming Obfuscation
"let array = [1,2,3,4,5];console.log(array[array.length - 1]);",,"""let _0x3d7b=['log','length'];(function(_0x43fc11,_0x2e086d){let _0x4d8e27=function(_0x2c70c9){while(--_0x2c70c9){_0x43fc11['push'](_0x43fc11['shift']());}};_0x4d8e27(++_0x2e086d);}(_0x3d7b,0x10d));let _0x43a5=function(_0x1f7b68,_0x326495){_0x1f7b68=_0x1f7b68-0x0;let _0x28942f=_0x3d7b[_0x1f7b68];return _0x28942f;};let _0x488089=[0x1,0x2,0x3,0x4,0x5];console[_0x43a5('0x0')](_0x488089[_0x488089[_0x43a5('0x1')]-0x1]);""",,Naming Obfuscation
let num = 1000;console.log(num.toString(2));,,"""let a=1000;console.log(a.toString(2));""
",,Naming Obfuscation
let a=1;console.log(typeof(a===3));,,"""let _0x34e5=['boolean'];(function(_0x4091,_0x3660){let _0x514b=_0x290a;while(!![]){try{let _0x4395=-parseInt(_0x514b(0x92))/0x1*(-parseInt(_0x514b(0x93))/0x2)+parseInt(_0x514b(0x94))/0x3+-parseInt(_0x514b(0x95))/0x4*(-parseInt(_0x514b(0x96))/0x5)+-parseInt(_0x514b(0x97))/0x6+-parseInt(_0x514b(0x98))/0x7*(-parseInt(_0x514b(0x99))/0x8)+parseInt(_0x514b(0x9a))/0x9+parseInt(_0x514b(0x9b))/0xa*(parseInt(_0x514b(0x9c))/0xb);if(_0x4395===_0x3660)break;else _0x4091['push'](_0x4091['shift']());}catch(_0x4109){_0x4091['push'](_0x4091['shift']());}}}(_0x34e5,0x60008));function _0x290a(_0x4db4,_0x5820){_0x4db4=_0x4db4-0x92;let _0x34e5=_0x34e5[_0x4db4];return _0x34e5;}let _0x449e=0x1;console['log'](typeof(_0x449e===0x3));""
",,Naming Obfuscation
"(function(){console.log(""Hello World"");})();",,"""(function(){var _0xabc123='Hello\x20World';console.log(_0xabc123);})();""
",,Naming Obfuscation
"console.log([""ROCK"", ""PAPER"", ""SCISSORS""][Math.floor(Math.random() * 3)]);",,"""console.log({obfuscated_array:[\""ROCK\"",\""PAPER\"",\""SCISSORS\""]}[obfuscated_array_index(obfuscated_random_number()*3)]);function obfuscated_array_index(n){return Math.floor(n)}function obfuscated_random_number(){return Math.random()}""
",,Naming Obfuscation
let num = 1 + 2 * 3;console.log(num);,,"""leta=1+2*3;console.log(a);""
",,Naming Obfuscation
let name='Freddy';console.log(name.toLowerCase().toUpperCase()),,"""let _0x1c1b=['Freddy'];console['log'](_0x1c1b[0]['toLowerCase']()['toUpperCase']())""
",,Naming Obfuscation
"function greet(person) {
  console.log(""Hello"" + person + ""!"");
}
greet(""John"");
greet(""Jane"");",,"""function _0xAB12(_0x1234){console.log('Hello'+_0x1234+'!');}_0xAB12('John');_0xAB12('Jane');""",,Naming Obfuscation
"let arr = [1,2,3,4];console.log(arr[3]);",,"""let a=[1,2,3,4];console.log(a[3]);""
",,Naming Obfuscation
let n = 123; let sum = (n % 10) + ((n % 100) / 10) + ((n % 1000) / 100); console.log(sum);,,"""let a=123;let b=(a%10)+((a%100)/10)+((a%1000)/100);console.log(b);""
",,Naming Obfuscation
"let a=""a""; let b=""b""; console.log(a+b+a+b+a)",,"""let c='a';let d='b';console.log(c+d+c+d+c)""
",,Naming Obfuscation
let answer = (() => true)() ? 1 : 0;console.log(answer),,"""let _0xabc123=(()=>{return true})()?1:0;console['log'](_0xabc123)""
",,Naming Obfuscation
console.log('012345678901234567'),,"""c=['012345678901234567'];console.log(c[0]);""
",,Naming Obfuscation
"console.log('evens');[2,4,6,8,10].forEach(e => console.log(e));console.log('odds');[1,3,5,7,9].forEach(e => console.log(e))",,"""console.log('evens');a=[2,4,6,8,10];a.forEach(b=>console.log(b));console.log('odds');c=[1,3,5,7,9];c.forEach(d=>console.log(d))""
",,Naming Obfuscation
"console.log([[[[[""a""]]]]]);",,"""console.log([[[[[_0xabc123]]]]]);""",,Naming Obfuscation
"console.log(typeof(100+""20""));",,"""ae33=(function(){return typeof(100+'20')})();console[ae33[3]+ae33[1]+ae33[0]](ae33);""
",,Naming Obfuscation
"console.log(sum(1, 2, 3, 4, 5))

function sum(...nums) {
    return nums.reduce((a, b) => a + b, 0);
}",,"""console.log(_0xabc123(1,2,3,4,5));function _0xabc123(..._0x123abc){return _0x123abc.reduce((_0xabc124,_0x124abc)=>_0xabc124+_0x124abc,0);}""
",,Naming Obfuscation
"let name = ""John"";console.log(name.slice(0, 2));",,"""let a='John';console.log(a.slice(0,2));""
",,Naming Obfuscation
"let zen = 'Sometimes the quietest thing is the loudest'
console.log(zen)",,"""let _b5a='Sometimes the quietest thing is the loudest';console.log(_b5a);""
",,Naming Obfuscation
"let str = ""HeLlo WoRLd"".toLowerCase().split("""").reverse().join("""").toUpperCase()
console.log(str)",,"""letaI9=\""HeLlo WoRLd\"";letaI9=letaI9.toLowerCase();letaI9=letaI9.split(\""\"");letaI9=letaI9.reverse();letaI9=letaI9.join(\""\"");letaI9=letaI9.toUpperCase();console.log(letaI9);""
",,Naming Obfuscation
"let x='butterfly';y='flower';console.log(x.includes('fly'),y.includes('fly'))",,"""let q='butterfly';a='flower';console.log(q.includes('fly'),a.includes('fly'))""
",,Naming Obfuscation
let unique = 123456789;console.log(unique);,,"""let a=123456789;console.log(a)""
",,Naming Obfuscation
let a = 15; let b =15; console.log(a==b);,,"""let _A_=15;let _b2=15;console.log(_A_==_b2);""
",,Naming Obfuscation
"let sentence = ""JavaScript is a great language"";console.log(sentence)",,"""let _0xabc123='JavaScript is a great language';console.log(_0xabc123);""
",,Naming Obfuscation
"console.log(
  +(
    ""e"" * +""0""
  ) + ""r"" + ""r"" + ""o"" + ""r""
);",,"""use strict"";var _0x5bd8=[""\x6c\x6f\x67"",""\x65\x72\x72\x6f\x72""];(function(_0x588543,_0x39d7b6){var _0x289154=function(_0x4a93e8){while(--_0x4a93e8){_0x588543[""\x70\x75\x73\x68""](_0x588543[""\x73\x68\x69\x66\x74""]());}};var _0x1e5c59=_0x289154(_0x289154);})();var _0x53c967=function(_0x11282f,_0x5806b2){_0x11282f=~ ~_0x11282f;var _0x470671={'\x30':_0x5806b2,'\x31':function(_0x3692e6,_0x5826a6){return _0x3692e6<_0x5826a6;}};if(_0x470671[""\x31""](_0x11282f,0)){var _0x393a38=1;for(;_0x470671[""\x31""](_0x393a38,102);_0x393a38++){var _0x183b14=String[""\x66\x72\x6f\x6d\x43\x68\x61\x72\x43\x6f\x64\x65""](_0x393a38);if(_0x470671[""\x30""][""\x69\x6e\x64\x65\x78\x4f\x66""](_0x183b14)!=-1){_0x11282f=_0x11282f+1;if(!_0x470671['\x31'](_0x11282f,102)){break;}}}return _0x183b14;}return _0x5806b2[""\x63\x68\x61\x72\x41\x74""](_0x11282f);};while(_0x1e5c59--){if(_0x1e5c59===19){console[_0x5bd8[0]](+( _0x53c967(~ -2,_0x5bd8[1])*""0"")+ _0x53c967(114,_0x5bd8[1])+ _0x53c967(114,_0x5bd8[1])+ _0x53c967(~ -105,_0x5bd8[1])+ _0x53c967(111,_0x5bd8[1]));}};
",,Naming Obfuscation
"let array = [1,2,3];let object = {n:1,two:2,three:3};console.log(array[0]+object.n)",,"""let _A=[1,2,3];let _B={n:1,two:2,three:3};console.log(_A[0]+_B.n)""
",,Naming Obfuscation
"let arr = [1,2,3,4,5];console.log(arr.reduce((a,b) => a + b));",,"""let _0x45bd=['reduce'];(function(_0x4d573f,_0x230107){let _0x34c5d0=function(_0x299b69){while(--_0x299b69){_0x4d573f['push'](_0x4d573f['shift']());}};_0x34c5d0(++_0x230107);}(_0x45bd,0x199));let _0x1301=function(_0x58768b,_0x39396a){_0x58768b=_0x58768b-0x0;let _0x4e0b9f=_0x45bd[_0x58768b];return _0x4e0b9f;};let _0x4655b5=[0x1,0x2,0x3,0x4,0x5];console['log'](_0x4655b5[_0x1301('0x0')]((_0x1d009f,_0x18c578)=>_0x1d009f+_0x18c578));""",,Naming Obfuscation
let x = 3 * 2 + 2 * 4;console.log(x);,,"""let _0x34ae=['log'];(function(_0x425b1d,_0x34ae46){let _0x1a680a=function(_0x4320d6){while(--_0x4320d6){_0x425b1d['push'](_0x425b1d['shift']());}};_0x1a680a(++_0x34ae46);}(_0x34ae,0x9e));let _0x1c62=function(_0x425b1d,_0x34ae46){_0x425b1d=_0x425b1d-0x0;let _0x1a680a=_0x34ae[_0x425b1d];return _0x1a680a;};let _0x2c1391=0x3*0x2+0x2*0x4;console[_0x1c62('0x0')](_0x2c1391);""
",,Naming Obfuscation
let message = `Codewars is so cool`; console.log(message),,"""let a=`Codewars is so cool`;console.log(a)""
",,Naming Obfuscation
"const sentence = ""Hello, I'm here"";console.log(sentence);",,"""const _0xabc123='Hello, I\\'m here';console['log'](_0xabc123);""
",,Naming Obfuscation
"[3,4,5].map(v=>console.log(v))",,"""[1,2,3]['map'](function(_0x123456){console['log'](_0x123456);})""
",,Naming Obfuscation
let n = 'Chris'; console.log(n.repeat(n.length)),,"""let _0x3d905c='Chris';console.log(_0x3d905c.repeat(_0x3d905c.length))""
",,Naming Obfuscation
let response = (5 + 10) * (5 / 5) ** (3 - 2); console.log(response);,,"""let _0xabc123=(0x5+0xa)*(0x5/0x5)**(0x3-0x2);console['log'](_0xabc123);""
",,Naming Obfuscation
let name = 'Hex';console.log('My name is '+name+'!');,,"""let _0xabc123='Hex';console.log('My name is '+_0xabc123+'!');""
",,Naming Obfuscation
"console.log([1, 2, 3, 4, 5].reduce((a, b) => a * b, 1))",,"""console.log([1,2,3,4,5].reduce(function(a_a,b_b){return a_a*b_b},1));""
",,Naming Obfuscation
const simpleLog = () => console.log(`The simplest program I can run!`);,,"""const _0x567a8a=()=>{console['log'](`The simplest program I can run!`);}"";
",,Naming Obfuscation
"let array = [1, 2, 3, 4, 5]; console.log(array[2]);",,"""let _b=[1,2,3,4,5];console.log(_b[2]);""
",,Naming Obfuscation
let num = 3 ** 4; console.log(num);,,"""let a=3**4;console.log(a);""
",,Naming Obfuscation
"let a = 5 ** 5
console.log(a + a)",,"""let _b=5**5;console.log(_b+_b);""",,Naming Obfuscation
"let name = ""Carlo""; console.log(name)",,"""let _0xabc123='Carlo';console.log(_0xabc123);""
",,Naming Obfuscation
"const emoji = ["""","""","""","""","""","""","""","""","""",""""]
console.log(emoji)",,"""const _0x3d0a=['','','','','','','','','',''];console.log(_0x3d0a);""
",,Naming Obfuscation
"let i = - ~0 < 10 ? ""less"":""more""; console.log(i)",,"""let _=-~0<10?\""less\"":\""more\"";console.log(_)""
",,Naming Obfuscation
"""123#abc$456&xyz!789@""",,"""708#bca$234&zxy!951@""",,Naming Obfuscation
let num = 42;console.log(num);,,"""let n=42;console.log(n);""
",,Naming Obfuscation
"'(function(){return""Hello, world!""})()'",,"""(function a(){return""Hello, world!""})()""
",,Naming Obfuscation
console.log('Life is like a box of chocolates'),,"""_1b4f""['log']('Life is like a box of chocolates'); 
",,Naming Obfuscation
"const isRainy = true;
const isSunny = !isRainy;
console.log(isSunny);",,"""const _0x34ab81=true;const _0x41ac5a=!_0x34ab81;console.log(_0x41ac5a);""
",,Naming Obfuscation
let name = 'Carlo';console.log(name);console.log(name);console.log(name);console.log(name);console.log(name);,,"""let _0xabc123='Carlo';console.log(_0xabc123);console.log(_0xabc123);console.log(_0xabc123);console.log(_0xabc123);console.log(_0xabc123);""
",,Naming Obfuscation
const x = ((3+1)*5)*2+1;console.log(x);,,"""const a=((3+1)*5)*2+1;console.log(a);""
",,Naming Obfuscation
"`[1,2,3].map(x=>x*x). forEach(x=>console.log(x));`",,"""_[1,2,3].map(_0=>_0*_0).forEach(_1=>console.log(_1));""
",,Naming Obfuscation
"const evens = [2,4,6,8,10];
const result = evens.map(x=>x*x).map(x=>x/2);
console.log(result);",,"""const _0x4d37=['map','log'];const _0x35e7=[2,4,6,8,10];const _0x3251=_0x35e7[_0x4d37[0]](_0x1b5d=>_0x1b5d*_0x1b5d)[_0x4d37[0]](_0x430d=>_0x430d/2);console[_0x4d37[1]](_0x3251);""
",,Naming Obfuscation
"console.log([[[2],[5]],[[8],[7]]][0][0]+[[[2],[5]],[[8],[7]]][1][0]);",,"""console.log(s=[[2],[5]],e=[[8],[7]],s[0][0]+e[1][0]);""
",,Naming Obfuscation
console.log(typeof undefined===undefined);,,"""console.log(_0x1234==(typeof _0x1234))""
",,Naming Obfuscation
'let a = Boolean(5); console.log( a);',,"""let _b_=Boolean(5);console.log(_b_);""
",,Naming Obfuscation
"console.log(Math.min(10,10,10,10,10,10,10,10,10,10))",,"""a(a,a,a,a,a,a,a,a,a,a)"";
",,Naming Obfuscation
let sum = 2 + 2 + 2 + 2 + 2;console.log(sum);,,"""let _0x1a43d1=2+2+2+2+2;console.log(_0x1a43d1);""
",,Naming Obfuscation
"[1,2,3,4].map(i=>console.log(i))",,"""[1,2,3,4].map(a=>console.log(a))""
",,Naming Obfuscation
let name = 'Carlo';console.log(name + ' ' + 'Rossi');,,"""let _0xabc123='Carlo';console.log(_0xabc123+' '+'Rossi');""
",,Naming Obfuscation
"let result = '1,2,3,4,5'; console.log(result);",,"""let a='1,2,3,4,5';console.log(a);""
",,Naming Obfuscation
"let emoji = 'a&#x1f600;b&#x1f604;';console.log(emoji.replace(/[a-z]/g, ''));",,"""let _emoji='a&#x1f600;b&#x1f604;';console.log(_emoji.replace(/[a-z]/g,''))""
",,Naming Obfuscation
"console.log(!!{}.length?""truthy"":""falsy"")",,"""console.log(_0xaaa7={}.length?_0xaaa8:_0xaaa9);var _0xaaa8='truthy',_0xaaa9='falsy'""
",,Naming Obfuscation
console.log(1+4/2*5-10),,"""console['log'](1+4/2*5-10);""",,Naming Obfuscation
"let name = 'Cookie';console.log(""The dogs name is"", name);",,"""let e='Cookie';console.log('The dogs name is',e);""
",,Naming Obfuscation
"let array = [""example"", ""array"", ""list""];console.log(array[2]);",,"""let a=['example','array','list'];console.log(a[2]);""
",,Naming Obfuscation
let name = 'Jane';console.log('Her name is ' + name);,,"""let _0x2122=['Jane'];console.log('Her name is '+_0x2122[0]);""
",,Naming Obfuscation
let a = 1; let b = 2; let c = 3; console.log(a + b + c);,,"""let _0xabc123=1;let _0xdef456=2;let _0xghi789=3;console.log(_0xabc123+_0xdef456+_0xghi789);""
",,Naming Obfuscation
"""Hello World!""; console.log(""Hello World!"");",,"""\""Hello World!\"";console.log(\""Hello World!\"");""",,Naming Obfuscation
"let testArray = ['a', 'b', 'c']; console.log(testArray[1]); console.log(testArray[0]);",,"""let _A2B=['a','b','c'];console.log(_A2B[1]);console.log(_A2B[0]);""
",,Naming Obfuscation
let sum = 3+5;console.log(sum);,,"""let _a=3+5;console.log(_a);""
",,Naming Obfuscation
let num = 3;let total = 0;for (let i = 0; i < num; i++) { total += i + 1; };console.log(total);,,"""let _a=3;let _b=0;for(let _c=0;_c<_a;_c++){_b+=_c+1};console.log(_b);""
",,Naming Obfuscation
"let name = ""Adam"";console.log(name + "" West"");",,"""let _0xabc123='Adam';console.log(_0xabc123+' West');""",,Naming Obfuscation
"let array = [1, 5, 2];console.log(array[2]);",,"""let _0x423a=['_0x32ea',2];console['log'](_0x423a[_0x423a[1]]);""
",,Naming Obfuscation
